,Skewness
AGE,0.4676030519883979
DAYS OF EX,-0.3851121542538307
conc (ng/ul),1.9529433920291566
E260/280,0.3970211429792228
E260/230,-0.3017762388267875
sec conc (ng/ul),1.4658026205940855
sec E260/280,-1.8377548270367334
sec E260/230,-0.1691497984608512
ENV COND_B,1.195860838211896
ENV COND_NE,1.195860838211896
ENV COND_OV,1.7087284999144101
ENV COND_S,0.8085495003823965
